movie_id,title,status,year,revenue,budget,budget_to_rev ,popularity,genre,production_countries,genre_raw,,,,,,,,
4562514,Romance on the High Seas,Released,1948,3225000,2532000,1.2736966824645,5.349,Comedy,United States of America,"Comedy, Romance",,,,,,,,
4586966,The Miracle of the Bells,Released,1948,2100000,2000000,1.05,2.976,Drama,United States of America,Drama,,,,,,,,
4575089,Miranda,Released,1948,834332,784170,1.0639682721859,2.582,Comedy,United Kingdom,"Comedy, Fantasy, Romance",,,,,,,,
4842293,Sing or Swim,Released,1948,6339,6339,1,0.6,Family,United States of America,"Animation, Music",,,,,,,,
4532276,Samson and Delilah,Released,1949,11500000,3000000,3.8333333333333,16.023,Drama,United States of America,"Drama, Romance, Adventure",,,,,,,,
4527243,White Heat,Released,1949,3483000,1300000,2.6792307692308,12.246,Horror,United States of America,"Crime, Drama, Thriller",,,,,,,,
4538969,Mighty Joe Young,Released,1949,1950000,1800000,1.0833333333333,10.923,Action,United States of America,"Adventure, Fantasy, Drama, Action, Science Fiction",,,,,,,,
4529642,Adam's Rib,Released,1949,9470000,1728000,5.4803240740741,10.633,Comedy,United States of America,"Comedy, Drama, Romance",,,,,,,,
4528798,She Wore a Yellow Ribbon,Released,1949,5400000,1600000,3.375,10.203,Action,United States of America,Western,,,,,,,,
4534381,Under Capricorn,Released,1949,1500000,2500000,0.6,10.146,Drama,United Kingdom,"Drama, History, Romance",,,,,,,,
4531019,On the Town,Released,1949,4428000,2133000,2.0759493670886,8.942,Romance,United States of America,"Romance, Comedy, Music",,,,,,,,
4531109,The Heiress,Released,1949,2300000,2600000,0.88461538461538,8.615,Drama,United States of America,"Drama, Romance, History",,,,,,,,
4548292,Flamingo Road,Released,1949,2896000,1528000,1.8952879581152,6.918,Drama,United States of America,"Drama, Romance",,,,,,,,
4540450,Champion,Released,1949,2500000,600000,4.1666666666667,6.591,Drama,United States of America,Drama,,,,,,,,
4550156,Beyond the Forest,Released,1949,1738000,1589000,1.0937696664569,5.673,Drama,United States of America,"Drama, Thriller",,,,,,,,
4564328,It's a Great Feeling,Released,1949,2713000,1452000,1.8684573002755,4.302,Comedy,United States of America,"Comedy, Music",,,,,,,,
4547430,Africa Screams,Released,1949,1500000,500000,3,4.292,Comedy,United States of America,"Comedy, Adventure",,,,,,,,
4551267,The Barkleys of Broadway,Released,1949,4421000,2250000,1.9648888888889,4.267,Comedy,United States of America,"Comedy, Romance",,,,,,,,
4591767,Any Number Can Play,Released,1949,3205000,1363000,2.3514306676449,3.364,Drama,United States of America,Drama,,,,,,,,
4592239,The Beautiful Blonde from Bashful Bend,Released,1949,2889000,2192000,1.3179744525547,1.651,Action,United States of America,"Action, Comedy, Romance, Western",,,,,,,,
4859430,Big Jack,Released,1949,915000,869000,1.0529344073648,1.539,Action,United States of America,"Adventure, Western",,,,,,,,
4520608,Cinderella,Released,1950,263591415,2900000,90.89359137931,85.42,Family,United States of America,"Family, Fantasy, Animation, Romance",,,,,,,,
4522223,Rashomon,Released,1950,96568,250000,0.386272,22.65,Horror,Japan,"Crime, Drama, Mystery",,,,,,,,
4521901,Sunset Boulevard,Released,1950,5000000,1752000,2.8538812785388,22.229,Drama,United States of America,Drama,,,,,,,,
4523010,All About Eve,Released,1950,8400000,1400000,6,20.409,Drama,United States of America,Drama,,,,,,,,
4536068,Sands of Iwo Jima,Released,1950,7800000,1000000,7.8,11.236,Action,United States of America,"War, Action, Drama, History",,,,,,,,
