movie_id,title,status,year,revenue,budget,budget to rev ,popularity,Genre,production_countries,Genre (raw)
4520972,The Blair Witch Project,Released,1999,248639099,60000,4143.98498333333,30.098,Horror,United States of America,"Horror, Mystery"
4535024,Deep Throat,Released,1972,100000000,25000,4000,157.534,Comedy,United States of America,Comedy
4568774,1 Night in Paris,Released,2004,10000000,5595,1787.31009830206,16.947,Romance,United States of America,Romance
4520904,Paranormal Activity,Released,2007,193355800,215000,899.329302325581,35.429,Horror,United States of America,"Horror, Mystery"
4547628,Lady Frankenstein,Released,1971,139683000,200000,698.415,5.515,Horror,Italy,"Horror, Science Fiction"
4589877,"Aloha, Bobby and Rose",Released,1975,35000000,60000,583.333333333333,5.433,Drama,United States of America,"Drama, Romance, Action"
4525177,One Cut of the Dead,Released,2017,27590180,52406,526.46986986223,14.95,Comedy,Japan,"Comedy, Horror"
4527026,Pink Flamingos,Released,1972,6000000,12000,500,15.654,Comedy,United States of America,"Comedy, Crime"
4534550,Secret Superstar,Released,2017,137416709,286284,480.001358790572,8.214,Drama,India,"Drama, Music"
4522796,Super Size Me,Released,2004,28575078,65000,439.616584615385,10.989,Documentary,United States of America,Documentary
4524330,The Gallows,Released,2015,42964410,100000,429.6441,10.224,Horror,United States of America,"Horror, Thriller"
4524002,Open Water,Released,2003,54667954,130000,420.522723076923,12.827,Drama,United States of America,"Drama, Thriller, Horror"
4543949,Behind the Green Door,Released,1972,25000000,60000,416.666666666667,13.147,Romance,United States of America,"Romance, Mystery"
4593244,Monopoly,Released,1996,724379,1917,377.871152842984,1.883,Comedy,Sweden,"Comedy, Music"
4521573,The Texas Chain Saw Massacre,Released,1974,30900000,85000,363.529411764706,40.426,Horror,United States of America,Horror
4575565,Traffic in Souls,Released,1913,1800000,5700,315.789473684211,1.252,Crime,United States of America,"Crime, Drama"
4520799,Bambi,Released,1942,267447150,858000,311.709965034965,43.491,Animation,United States of America,"Animation, Drama, Family"
4768157,DeMonD the movie,Released,2021,3000000,10000,300,1.234,Action,United States of America,"Action, Adventure, Science Fiction, Comedy"
4521111,Mad Max,Released,1979,100000000,350000,285.714285714286,30.001,Adventure,Australia,"Adventure, Action, Thriller, Science Fiction"
4523909,El Mariachi,Released,1992,2040920,7225,282.480276816609,12.568,Action,"Mexico, United States of America","Action, Crime, Thriller"
4522011,Night of the Living Dead,Released,1968,30000000,114000,263.157894736842,22.412,Horror,United States of America,Horror
4600214,The Mistress,Released,2012,5876918,22361,262.819999105586,3,Romance,Philippines,"Romance, Drama"
4688220,Unbound,Released,2018,21000000,80000,262.5,0.796,Action,United States of America,"Action, Crime, Drama, Thriller"
4681462,The Dangerous Stranger,Released,1950,250000,1000,250,1.623,Drama,United States of America,"Drama, Documentary"
4520499,Rocky,Released,1976,225250402,1000000,225.250402,42.023,Drama,United States of America,"Drama, Romance"
4542231,Alice in Wonderland: An X-Rated Musical Fantasy,Released,1976,90000000,400000,225,12.079,Comedy,United States of America,"Comedy, Fantasy"
4531526,King Kong vs. Godzilla,Released,1963,2700000,12000,225,9.271,Action,"Japan, United States of America","Action, Adventure, Science Fiction"
4520851,Halloween,Released,1978,70274000,325000,216.227692307692,56.727,Horror,United States of America,"Horror, Thriller"
4542688,The Zombie Diaries,Released,2006,2000000,9300,215.05376344086,6.077,Horror,United Kingdom,"Horror, Action, Thriller"
4523856,The Way of the Dragon,Released,1972,27000000,130000,207.692307692308,26.213,Action,Hong Kong,"Action, Crime"
5422115,Tattness: The Other Side of Hell: The Documentary,Released,2020,1000000,5000,200,0.6,Documentary,"Canada, United Kingdom, United States of America",Documentary
4549517,Joe,Released,1970,19319254,106000,182.257113207547,6.404,Drama,United States of America,"Drama, Thriller, Crime"
4523255,American Graffiti,Released,1973,140000000,777000,180.18018018018,23.5,Comedy,United States of America,"Comedy, Drama"
4603659,Damaged Lives,Released,1933,1800000,10000,180,3.363,Drama,"United States of America, Canada",Drama
4573392,Let's Do It Again,Released,1975,11800000,70000,168.571428571429,4.18,Comedy,United States of America,"Comedy, Crime"
4628333,A Polish Vampire in Burbank,Released,1983,500000,3000,166.666666666667,2.307,Horror,United States of America,"Horror, Comedy"
4533671,Blood Feast,Released,1963,4000000,24500,163.265306122449,9.259,Horror,United States of America,Horror
4522398,Easy Rider,Released,1969,60000000,400000,150,21.278,Adventure,United States of America,"Adventure, Drama"
4534233,Skinamarink,Released,2023,2100000,15000,140,75.178,Horror,Canada,"Horror, Mystery"
4545392,The Legend of Boggy Creek,Released,1972,22000000,160000,137.5,6.617,Mystery,United States of America,"Mystery, Horror, Drama"
4759024,Booye Gandom,Released,2010,2000000,15000,133.333333333333,0.6,Crime,Iran,"Crime, Drama"
4523422,Once,Released,2007,20710513,160000,129.44070625,14.702,Drama,Ireland,"Drama, Music, Romance"
4526824,Me Against You: Mr. S's Vendetta,Released,2020,9500000,75000,126.666666666667,6.037,Family,Italy,"Family, Fantasy"
4521661,Dragon Ball Super: Broly,Released,2018,125002821,1000000,125.002821,14.988,Action,Japan,"Action, Science Fiction, Animation"
4520524,Snow White and the Seven Dwarfs,Released,1937,184925486,1488423,124.242561422391,53.193,Fantasy,United States of America,"Fantasy, Animation, Family"
4522558,Napoleon Dynamite,Released,2004,46118097,400000,115.2952425,17.367,Comedy,United States of America,Comedy
4521940,Clerks,Released,1994,3151130,27575,114.274886672711,14.312,Comedy,United States of America,Comedy
4637252,Lady Vampire,Released,2004,1000000,9000,111.111111111111,0.745,Horror,Cambodia,Horror
4531903,...And God Created Woman,Released,1956,33000000,300000,110,12.581,Drama,France,"Drama, Romance"
4526599,The Birth of a Nation,Released,1915,11000000,100000,110,13.791,Drama,United States of America,"Drama, History, War"
4526335,Keeping Mum,Released,2005,18564702,169000,109.850307692308,9.355,Comedy,"United Kingdom, United States of America",Comedy
4543137,Vixen!,Released,1968,8000000,73000,109.58904109589,17.023,Drama,United States of America,Drama
4549248,"Count Yorga, Vampire",Released,1970,7000000,64000,109.375,5.394,Horror,United States of America,Horror
4524724,The Hills Have Eyes,Released,1977,25000000,230000,108.695652173913,18.031,Horror,United States of America,Horror
4521739,Friday the 13th,Released,1980,59754601,550000,108.644729090909,55.874,Horror,United States of America,Horror
4527803,Facing the Giants,Released,2006,10178331,100000,101.78331,27.093,Drama,United States of America,Drama
4524981,The Devil Inside,Released,2012,101758490,1000000,101.75849,12.968,Thriller,United States of America,"Thriller, Horror"
